Course Code,Course Title,Meeting Info,Instructor,Seats Available,Max Enrollment,Additional Details,Paragraph Text
AMST 209-01 (10474),Civil Rights in the United States,Meeting:   W    7:00 - 10:00 pmMAIN 010,Instructor: Walter Greason,-1,15,Cross-listed with HIST 209-01,Cross-listed with HIST 209-01
,,,,,,"The course examines the post-World War II Civil Rights Movement led by African Americans in the United States.  In the class, students will analyze key people, issues, events, and debates within movement history, including, but not limited to, gender and leadership; struggles for civil rights in the south, west, and urban north; the impact of the Cold War on race relations; student activism; movement strategies; and the emergence of Black Power.  Throughout the semester, students will read a wide variety of primary and secondary texts to illuminate the activities and life stories of individual participants as well as the broad historical forces that characterized this long era of insurgency.
Humanities
U.S Identities and Differenceshttps://macalester.bncollege.com/webapp/wcs/stores/servlet/TBListView?cm_mmc=RI-_-8345-_-1-_-A&catalogId=10001&storeId=89536&termMapping=Y&courseXml=%3C?xml%20version=%271.0%27%20encoding=%27UTF-8%27?%3E%3Ctextbookorder%3E%3Ccourses%3E%3Ccourse%20term=%27202410%27%20dept=%20%27AMST%27%20num=%27209%27%20sect=%2701%27%20/%3E%3C/courses%3E%3C/textbookorder%3E","The course examines the post-World War II Civil Rights Movement led by African Americans in the United States.  In the class, students will analyze key people, issues, events, and debates within movement history, including, but not limited to, gender and leadership; struggles for civil rights in the south, west, and urban north; the impact of the Cold War on race relations; student activism; movement strategies; and the emergence of Black Power.  Throughout the semester, students will read a wide variety of primary and secondary texts to illuminate the activities and life stories of individual participants as well as the broad historical forces that characterized this long era of insurgency.
Humanities
U.S Identities and Differences"
AMST 225-01 (10476),Native History to 1871,Meeting:  T R   9:40 - 11:10 amMAIN 010,Instructor: Katrina Phillips,2,20,Cross-listed with HIST 225-01,Cross-listed with HIST 225-01
,,,,,,"The history of American Indians is wonderfully complex, but this history is simultaneously fraught with misconceptions and misinterpretations. European (and, later, Euro-Americans) alternated among fascination, fear, and frustration toward American Indians, while American Indians sought to maintain tribal sovereignty and control over their lands, cultures, religions, politics, and lifestyles amidst continuing encroachment and settlement. This course examines American Indian history to 1871 - the year that Congress stopped making treaties with Native nations - by considering the complicated and multifaceted history of the nation’s indigenous people. By looking at American Indian interactions with Spanish, French, British, and American explorers, settlers, missionaries, militaries, and government officials, this courses argues that the history of American Indians is essential to understanding past as well as present issues. Furthermore, this course looks to move beyond the notion that American Indian history is one of inevitable decline by creating a more nuanced understanding of the American Indian experience from pre-contact toward the twentieth century.
Humanities
U.S Identities and Differences, Writing WAhttps://macalester.bncollege.com/webapp/wcs/stores/servlet/TBListView?cm_mmc=RI-_-8345-_-1-_-A&catalogId=10001&storeId=89536&termMapping=Y&courseXml=%3C?xml%20version=%271.0%27%20encoding=%27UTF-8%27?%3E%3Ctextbookorder%3E%3Ccourses%3E%3Ccourse%20term=%27202410%27%20dept=%20%27AMST%27%20num=%27225%27%20sect=%2701%27%20/%3E%3C/courses%3E%3C/textbookorder%3E","The history of American Indians is wonderfully complex, but this history is simultaneously fraught with misconceptions and misinterpretations. European (and, later, Euro-Americans) alternated among fascination, fear, and frustration toward American Indians, while American Indians sought to maintain tribal sovereignty and control over their lands, cultures, religions, politics, and lifestyles amidst continuing encroachment and settlement. This course examines American Indian history to 1871 - the year that Congress stopped making treaties with Native nations - by considering the complicated and multifaceted history of the nation’s indigenous people. By looking at American Indian interactions with Spanish, French, British, and American explorers, settlers, missionaries, militaries, and government officials, this courses argues that the history of American Indians is essential to understanding past as well as present issues. Furthermore, this course looks to move beyond the notion that American Indian history is one of inevitable decline by creating a more nuanced understanding of the American Indian experience from pre-contact toward the twentieth century.
Humanities
U.S Identities and Differences, Writing WA"
AMST 237-01 (10075),Environmental Justice,Meeting:  T R   9:40 - 11:10 amTHEATR 001,Instructor: Kirisitina Sailiata,8,25,Cross-listed with ENVI 237-01,Cross-listed with ENVI 237-01
,,,,,,"Updated course description: Since the early twentieth century, the environment and sustainability have been core platforms across most contemporary social movements. This introductory survey course begins its focus on the history of environmental activism locally in the Twin Cities to flashpoints across the Mississippi River watershed and beyond. Through a study of key figures and cases, we will explore the history and mobilization of environmental, climate and sustainability activism; the relationship between colonial and capitalist systems to contemporary environmental racism and inequality; and divergent approaches to research and scientific philosophies and practices.
Social sciencehttps://macalester.bncollege.com/webapp/wcs/stores/servlet/TBListView?cm_mmc=RI-_-8345-_-1-_-A&catalogId=10001&storeId=89536&termMapping=Y&courseXml=%3C?xml%20version=%271.0%27%20encoding=%27UTF-8%27?%3E%3Ctextbookorder%3E%3Ccourses%3E%3Ccourse%20term=%27202410%27%20dept=%20%27AMST%27%20num=%27237%27%20sect=%2701%27%20/%3E%3C/courses%3E%3C/textbookorder%3E","Updated course description: Since the early twentieth century, the environment and sustainability have been core platforms across most contemporary social movements. This introductory survey course begins its focus on the history of environmental activism locally in the Twin Cities to flashpoints across the Mississippi River watershed and beyond. Through a study of key figures and cases, we will explore the history and mobilization of environmental, climate and sustainability activism; the relationship between colonial and capitalist systems to contemporary environmental racism and inequality; and divergent approaches to research and scientific philosophies and practices.
Social science"
AMST 240-01 (10312),"Race, Culture, and Ethnicity in Education",Meeting:  T R   1:20 - 2:50 pmMUSIC 228,Instructor: Brian Lozenski,-4,24,First day attendance required; cross-listed with EDUC 240-01,First day attendance required; cross-listed with EDUC 240-01
,,,,,,"This survey course will explore history, policy, and pedagogy as they relate to race, ethnicity, and culture as education. K-12 public education will be the primary focus with topics including desegregation, standardized testing, multi-cultural and ethnocentric pedagogy, the teacher’s role and experience, and significant historical events in education. The course will culminate by analyzing current trends and future expectations in education.
Social science
U.S Identities and Differences, Writing WPhttps://macalester.bncollege.com/webapp/wcs/stores/servlet/TBListView?cm_mmc=RI-_-8345-_-1-_-A&catalogId=10001&storeId=89536&termMapping=Y&courseXml=%3C?xml%20version=%271.0%27%20encoding=%27UTF-8%27?%3E%3Ctextbookorder%3E%3Ccourses%3E%3Ccourse%20term=%27202410%27%20dept=%20%27AMST%27%20num=%27240%27%20sect=%2701%27%20/%3E%3C/courses%3E%3C/textbookorder%3E","This survey course will explore history, policy, and pedagogy as they relate to race, ethnicity, and culture as education. K-12 public education will be the primary focus with topics including desegregation, standardized testing, multi-cultural and ethnocentric pedagogy, the teacher’s role and experience, and significant historical events in education. The course will culminate by analyzing current trends and future expectations in education.
Social science
U.S Identities and Differences, Writing WP"
AMST 270-01 (10077),Black Public Intellectuals,Meeting:   W    7:00 - 10:00 pmHUM 213,Instructor: Duchess Harris,3,25,,
,,,,,,"This course will address the tradition of public intellectuals in numerous Black communities. We will expand the definition of ""politics"" to include theater, literature, and film. We will interrogate the concept of who chooses the scholarly leaders for Black communities. We will examine numerous topics such as Communism, The American Dream, Incarceration, Feminism, and Ebony Voices in the Ivory Tower.
Humanitieshttps://macalester.bncollege.com/webapp/wcs/stores/servlet/TBListView?cm_mmc=RI-_-8345-_-1-_-A&catalogId=10001&storeId=89536&termMapping=Y&courseXml=%3C?xml%20version=%271.0%27%20encoding=%27UTF-8%27?%3E%3Ctextbookorder%3E%3Ccourses%3E%3Ccourse%20term=%27202410%27%20dept=%20%27AMST%27%20num=%27270%27%20sect=%2701%27%20/%3E%3C/courses%3E%3C/textbookorder%3E","This course will address the tradition of public intellectuals in numerous Black communities. We will expand the definition of ""politics"" to include theater, literature, and film. We will interrogate the concept of who chooses the scholarly leaders for Black communities. We will examine numerous topics such as Communism, The American Dream, Incarceration, Feminism, and Ebony Voices in the Ivory Tower.
Humanities"
AMST 271-01 (10481),"Uses and Abuses: Drugs, Addiction and Recovery",Meeting: M      7:00 - 10:00 pmTHEATR 204,Instructor: Amy Sullivan,-5,20,Cross-listed with HIST 271-01,Cross-listed with HIST 271-01
,,,,,,"After a brief but essential global history of drugs, this course will focus primarily on the 20th century to the present. We will examine histories of substance use and abuse, temperance and prohibition, the ""War on Drugs,"" the shifting concept of addiction as a moral failing to addiction as a treatable disease, as well as study the history of the recovery movement and harm reduction. This course is not intended to be an exhaustive, comprehensive history of the subject-but it will provide you with a solid base from which to explore other aspects of this fascinating and contentious aspect of human history.
Humanities
U.S Identities and Differenceshttps://macalester.bncollege.com/webapp/wcs/stores/servlet/TBListView?cm_mmc=RI-_-8345-_-1-_-A&catalogId=10001&storeId=89536&termMapping=Y&courseXml=%3C?xml%20version=%271.0%27%20encoding=%27UTF-8%27?%3E%3Ctextbookorder%3E%3Ccourses%3E%3Ccourse%20term=%27202410%27%20dept=%20%27AMST%27%20num=%27271%27%20sect=%2701%27%20/%3E%3C/courses%3E%3C/textbookorder%3E","After a brief but essential global history of drugs, this course will focus primarily on the 20th century to the present. We will examine histories of substance use and abuse, temperance and prohibition, the ""War on Drugs,"" the shifting concept of addiction as a moral failing to addiction as a treatable disease, as well as study the history of the recovery movement and harm reduction. This course is not intended to be an exhaustive, comprehensive history of the subject-but it will provide you with a solid base from which to explore other aspects of this fascinating and contentious aspect of human history.
Humanities
U.S Identities and Differences"
AMST 275-01 (10331),African American Literature to 1900,Meeting: M W F  12:00 - 1:00 pmMAIN 111,Instructor: Daylanne English,0,20,Cross-listed with ENGL 275-01,Cross-listed with ENGL 275-01
,,,,,,"In this course, we will study African American literature from the end of the 18th century to the turn of the 20th century, from Phillis Wheatley to Frederick Douglass to Ida B. Wells. Themes of the course include: Black solidarity, U.S. citizenship, and literature as a means of self-creation and resistance. In the words of Toni Morrison, “this is precisely the time when artists go to work—not when everything is fine, but in times of dread.” Thus, we will also foreground early African American literature as art, as an at once aesthetic
and political project, reading it closely and appreciatively. Requirements include: brief
written responses to the readings, a presentation, a medium-length essay and a revision of
it, and a final reflection. This course fulfills the English major requirement either of a
course focused on literature by U.S. writers of color or a course on 19th -century American
literature.
Humanities
U.S Identities and Differences, Writing WAhttps://macalester.bncollege.com/webapp/wcs/stores/servlet/TBListView?cm_mmc=RI-_-8345-_-1-_-A&catalogId=10001&storeId=89536&termMapping=Y&courseXml=%3C?xml%20version=%271.0%27%20encoding=%27UTF-8%27?%3E%3Ctextbookorder%3E%3Ccourses%3E%3Ccourse%20term=%27202410%27%20dept=%20%27AMST%27%20num=%27275%27%20sect=%2701%27%20/%3E%3C/courses%3E%3C/textbookorder%3E","In this course, we will study African American literature from the end of the 18th century to the turn of the 20th century, from Phillis Wheatley to Frederick Douglass to Ida B. Wells. Themes of the course include: Black solidarity, U.S. citizenship, and literature as a means of self-creation and resistance. In the words of Toni Morrison, “this is precisely the time when artists go to work—not when everything is fine, but in times of dread.” Thus, we will also foreground early African American literature as art, as an at once aesthetic
and political project, reading it closely and appreciatively. Requirements include: brief
written responses to the readings, a presentation, a medium-length essay and a revision of
it, and a final reflection. This course fulfills the English major requirement either of a
course focused on literature by U.S. writers of color or a course on 19th -century American
literature.
Humanities
U.S Identities and Differences, Writing WA"
AMST 284-01 (10078),"Radical Reelism: Indigeneity, Politics, and Visual Culture",Meeting: M W    7:00 - 8:30 pmHUM 215,Instructor: Kirisitina Sailiata,11,25,Cross-listed with MCST 284-01,Cross-listed with MCST 284-01
,,,,,,"Updated course description: Radical Reelism is an introduction to the field of Indigenous studies. In this course, we will trace the roots and routes of contemporary Indigenous filmmaking and new media in the U.S. and globally. What is the history of visual representation of Indigenous people? How do we reconcile the relationship between the reel and real? What are the specific legal and political dimensions of visual sovereignty? And what can Indigenous filmmakers and film theory teach us about power and social justice in the world we live in or the lands we currently occupy? We will seek answers to these questions through a centering of the radical visions, stories and aesthetics of contemporary Indigenous filmmakers and new media artists around the world.
Humanitieshttps://macalester.bncollege.com/webapp/wcs/stores/servlet/TBListView?cm_mmc=RI-_-8345-_-1-_-A&catalogId=10001&storeId=89536&termMapping=Y&courseXml=%3C?xml%20version=%271.0%27%20encoding=%27UTF-8%27?%3E%3Ctextbookorder%3E%3Ccourses%3E%3Ccourse%20term=%27202410%27%20dept=%20%27AMST%27%20num=%27284%27%20sect=%2701%27%20/%3E%3C/courses%3E%3C/textbookorder%3E","Updated course description: Radical Reelism is an introduction to the field of Indigenous studies. In this course, we will trace the roots and routes of contemporary Indigenous filmmaking and new media in the U.S. and globally. What is the history of visual representation of Indigenous people? How do we reconcile the relationship between the reel and real? What are the specific legal and political dimensions of visual sovereignty? And what can Indigenous filmmakers and film theory teach us about power and social justice in the world we live in or the lands we currently occupy? We will seek answers to these questions through a centering of the radical visions, stories and aesthetics of contemporary Indigenous filmmakers and new media artists around the world.
Humanities"
AMST 291-01 (10917),Envi Justice in Practice,Meeting:  T R   3:00 - 4:30 pmMARKIM 201,Instructor: Samuel WegnerKirisitina Sailiata,2,12,1 credit only; pass/fail grading only; cross-listed with ENVI 291-01,1 credit only; pass/fail grading only; cross-listed with ENVI 291-01
,,,,,,"In this new course offering in Environmental Justice, students will learn from local community organizers and activists working across race, class and culture towards a more radical, emancipatory and climate just future here in the Twin Cities and in Greater Minnesota. Students will meet approximately twice a month to learn directly from various communities and community leaders about their distinct and collaborative approaches to land, water, and air stewardship. You will also have the opportunity to learn about various organizing strategies and campaigns for environmental justice through in class work and traveling to sites off-campus, including a wild ricing fieldtrip in early Fall.https://macalester.bncollege.com/webapp/wcs/stores/servlet/TBListView?cm_mmc=RI-_-8345-_-1-_-A&catalogId=10001&storeId=89536&termMapping=Y&courseXml=%3C?xml%20version=%271.0%27%20encoding=%27UTF-8%27?%3E%3Ctextbookorder%3E%3Ccourses%3E%3Ccourse%20term=%27202410%27%20dept=%20%27AMST%27%20num=%27291%27%20sect=%2701%27%20/%3E%3C/courses%3E%3C/textbookorder%3E","In this new course offering in Environmental Justice, students will learn from local community organizers and activists working across race, class and culture towards a more radical, emancipatory and climate just future here in the Twin Cities and in Greater Minnesota. Students will meet approximately twice a month to learn directly from various communities and community leaders about their distinct and collaborative approaches to land, water, and air stewardship. You will also have the opportunity to learn about various organizing strategies and campaigns for environmental justice through in class work and traveling to sites off-campus, including a wild ricing fieldtrip in early Fall."
AMST 294-01 (10080),Critical Race Studies 101,Meeting: M W F  3:30 - 4:30 pmARTCOM 202,Instructor: Jake Nagasawa,2,16,,
,,,,,,"Who hasn’t heard of Critical Race Theory in this day and age? More often than not, ""CRT"" has served as a paper tiger for white supremacist, right wing attacks. However Critical Race Theory is primarily a legal studies approach, and is just one of many ways of thinking about race. In this course, we will offer a broad, interdisciplinary foundation for understanding, analyzing, and coming to terms with race, racism, and racial inequality in the United States. We will engage a variety of materials including, texts, films, guest speakers, and field site visits. Students will have the freedom to explore their own interests through in-class discussions and a research paper. Topics will include racial formation in the Unites States; Asian settler colonialism; racial capitalism; and yes, Critical Race Theory. No prerequisites.
Humanitieshttps://macalester.bncollege.com/webapp/wcs/stores/servlet/TBListView?cm_mmc=RI-_-8345-_-1-_-A&catalogId=10001&storeId=89536&termMapping=Y&courseXml=%3C?xml%20version=%271.0%27%20encoding=%27UTF-8%27?%3E%3Ctextbookorder%3E%3Ccourses%3E%3Ccourse%20term=%27202410%27%20dept=%20%27AMST%27%20num=%27294%27%20sect=%2701%27%20/%3E%3C/courses%3E%3C/textbookorder%3E","Who hasn’t heard of Critical Race Theory in this day and age? More often than not, ""CRT"" has served as a paper tiger for white supremacist, right wing attacks. However Critical Race Theory is primarily a legal studies approach, and is just one of many ways of thinking about race. In this course, we will offer a broad, interdisciplinary foundation for understanding, analyzing, and coming to terms with race, racism, and racial inequality in the United States. We will engage a variety of materials including, texts, films, guest speakers, and field site visits. Students will have the freedom to explore their own interests through in-class discussions and a research paper. Topics will include racial formation in the Unites States; Asian settler colonialism; racial capitalism; and yes, Critical Race Theory. No prerequisites.
Humanities"
AMST 294-02 (10719),Representing Malcolm X,Meeting:  T R   3:00 - 4:30 pmMAIN 011,Instructor: William Hart,6,15,Cross-listed with RELI 294-01,Cross-listed with RELI 294-01
,,,,,,"This course explores Malcolm X: the man, the myth, and the movement. X was a man of many pieces, sometime contradictory, that we explore through various representations: autobiographical, screenplay and film, hip hop music and culture, black international opinion, FBI surveillance documents, a young adult novel (co-written by his daughter Ilyasah Shabazz), and though comparison with his contemporary, Frantz Fanon, a revolutionary activist and theorist of decolonialism and a critic of antiblackness. To some extent, we will engage in a genre study. How does genre—autobiography, biography/history, fiction, hip hop and outlaw cultures—influence representation? How do we think about the continuities and discontinuities among historical, autobiographical, and fictional representations of Malcolm X? Questions we will explore include: Who is representing Malcolm, how and why? How are the various representations inflected by their respective media and genre? Why do we engage in myth-making? Can we distinguish Malcolm the man from Malcolm the myth? How does the religious studies category of “hagiography help us to understand some representations of Malcolm X? What are the perils of hagiography? Was Malcolm’s religion merely a prop for his politics? Assuming it was not, how do we do justice to the religious dimensions of his life? How does Malcolm X’s religious itinerary help us understand who he was?
Humanities
U.S Identities and Differenceshttps://macalester.bncollege.com/webapp/wcs/stores/servlet/TBListView?cm_mmc=RI-_-8345-_-1-_-A&catalogId=10001&storeId=89536&termMapping=Y&courseXml=%3C?xml%20version=%271.0%27%20encoding=%27UTF-8%27?%3E%3Ctextbookorder%3E%3Ccourses%3E%3Ccourse%20term=%27202410%27%20dept=%20%27AMST%27%20num=%27294%27%20sect=%2702%27%20/%3E%3C/courses%3E%3C/textbookorder%3E","This course explores Malcolm X: the man, the myth, and the movement. X was a man of many pieces, sometime contradictory, that we explore through various representations: autobiographical, screenplay and film, hip hop music and culture, black international opinion, FBI surveillance documents, a young adult novel (co-written by his daughter Ilyasah Shabazz), and though comparison with his contemporary, Frantz Fanon, a revolutionary activist and theorist of decolonialism and a critic of antiblackness. To some extent, we will engage in a genre study. How does genre—autobiography, biography/history, fiction, hip hop and outlaw cultures—influence representation? How do we think about the continuities and discontinuities among historical, autobiographical, and fictional representations of Malcolm X? Questions we will explore include: Who is representing Malcolm, how and why? How are the various representations inflected by their respective media and genre? Why do we engage in myth-making? Can we distinguish Malcolm the man from Malcolm the myth? How does the religious studies category of “hagiography help us to understand some representations of Malcolm X? What are the perils of hagiography? Was Malcolm’s religion merely a prop for his politics? Assuming it was not, how do we do justice to the religious dimensions of his life? How does Malcolm X’s religious itinerary help us understand who he was?
Humanities
U.S Identities and Differences"
AMST 294-03 (10846),Endarkened Feminist Epistemologies: A Black Feminist Ethic,Meeting: M W F  10:50 - 11:50 amMAIN 009,Instructor: Ebony Aya,9,20,Cross-listed with WGSS 294-01,Cross-listed with WGSS 294-01
