Course Code,Course Title,Meeting Info,Instructor,Seats Available,Max Enrollment,Additional Details
AMST 271-01 (30811),"Uses and Abuses: Drugs, Addiction and Recovery",Meeting: M W F  3:30 - 4:30 pmMAIN 010,Instructor: Amy Sullivan,20,20,Cross-listed with HIST 271-01
AMST 281-01 (30010),"Bruce Lee, His Life and Legacy",Meeting: M      7:00 - 10:00 pmHUM 111,Instructor: Karin Aguilar-San Juan,20,20,Cross-listed with ASIA 283-01 and MCST 281-01; registration limit has been adjusted to save 5 seats for FYs
AMST 294-01 (30012),Not Your Model Minority: Japanese Americans from Incarceration to Redress and Beyond,Meeting:  T R   3:00 - 4:30 pmHUM 228,Instructor: Jake Nagasawa,11,11,Registration limit has been adjusted to save 5 seats for FYs
AMST 294-02 (30654),Representing Malcolm X,Meeting: M W F  3:30 - 4:30 pmMAIN 003,Instructor: William Hart,15,15,Cross-listed with RELI 294-01
AMST 294-03 (30013),White Christian Right,Meeting:   W    7:00 - 10:00 pmTHEATR 101,Instructor: Jake Nagasawa,12,12,
AMST 294-04 (30946),Once We Arrived:  Stories of Immigrants’ First Jobs,Meeting:  T R   3:00 - 4:30 pmHUM 113,Instructor: Julia Chadaga,15,15,Cross-listed with RUSS 294-02
AMST 308-01 (30727),Introduction to U.S. Latinx Studies,Meeting: M W F  10:50 - 11:50 amHUM 113,Instructor: Alicia Muñoz,11,11,First day attendance required; cross-listed with SPAN 308-01 and LATI 308-01; registration limit has been adjusted to save 4 seats for FYs
AMST 336-01 (30797),Blacks in Paris,Meeting: M W F  10:50 - 11:50 amHUM 217,Instructor: Juliette RogersDuchess Harris,20,20,Permission of instructor required; first day attendance required; cross-listed with FREN 336-01
AMST 341-01 (30365),"City Life: Segregation, Integration, and Gentrification",Meeting:  T R   3:00 - 4:30 pmCARN 105,Instructor: Daniel Trudeau,20,20,Cross-listed with GEOG 341-01
AMST 355-01 (30781),"Abolition Feminism: Race, Gender, Sexuality and Critical Prison Studies",Meeting:   W    7:00 - 10:00 pmMAIN 009,Instructor: Myrl Beam,15,15,Cross-listed with WGSS 355-01
AMST 394-02 (30955),"Race, Ethnicity, Class, and Gender in American Art",Meeting:  T R   1:20 - 2:50 pmARTCOM 102,Instructor: Joanna Inglot,20,20,Cross-listed with ART 375
ANTH 101-01 (30015),General Anthropology,Meeting: M W F  10:50 - 11:50 amCARN 06A,Instructor: Ron Barrett,30,30,
ANTH 111-01 (30014),Cultural Anthropology,Meeting: M W F  9:40 - 10:40 amCARN 06A,Instructor: Hilary Chart,15,15,Registration limit has been adjusted to save 15 seats for FYs
ANTH 115-01 (30956),Biological Anthropology,Meeting:  T R   9:40 - 11:10 amCARN 06B,Instructor: Jane Holmstrom,24,24,
ANTH 223-01 (30168),Introduction to Archaeology,Meeting:  T R   9:40 - 11:10 amTHEATR 200,Instructor: Andrew Overman,25,25,Cross-listed with CLAS 223-01
ANTH 232-01 (30802),Field Methods and Research Design,Meeting: M W F  3:30 - 4:30 pmCARN 204,Instructor: Ron Barrett,20,20,
ANTH 241-01 (30017),Anthropology of Death and Dying,Meeting:   W    7:00 - 10:00 pmCARN 304,Instructor: Ron Barrett,12,12,Permission of instructor required; first day attendance required
ANTH 251-01 (30957),Politics of Memory in Latin America,Meeting:  T R   3:00 - 4:30 pmTHEATR 205,Instructor: Olga Gonzalez,20,20,
ANTH 253-01 (30445),Comparative Muslim Cultures,Meeting:  T R   3:00 - 4:30 pmCARN 404,Instructor: Jenna Rice Rahaim,20,20,Cross-listed with INTL 253-01 and RELI 294-03
ANTH 258-01 (30804),Dynamic Africa,Meeting: M W F  1:10 - 2:10 pmMAIN 009,Instructor: Hilary Chart,20,20,
ANTH 294-03 (30020),Decolonizing Global Perspectives,Meeting:  T R   9:40 - 11:10 amOLRI 270,Instructor: Erika Busse-CardenasOlga Gonzalez,20,20,Cross-listed with SOCI 294-01
ANTH 294-05 (30803),"Ethno-ornithology: Science, Birds and Culture",Meeting: M W    8:00 - 9:30 amCARN 06B,Instructor: Arjun Guneratne,16,16,
ANTH 294-06 (30808),Digital Cultural Heritage,Meeting: M W F  12:00 - 1:00 pmCARN 06A,Instructor: Aisling Quigley,16,16,Cross-listed with MCST 294-02
ANTH 294-07 (30941),From Empathy to Action: Applied Anthropology and Human Centered Design for Social Innovation,Meeting:   W    7:00 - 10:00 pmCARN 06A,Instructor:,20,20,
ANTH 394-01 (30963),"Culture, Law and Politics",Meeting:  T R   9:40 - 11:10 amCARN 05,Instructor: Arjun Guneratne,20,20,
ANTH 394-02 (30657),Ritual,Meeting:  T R   1:20 - 2:50 pmMAIN 001,Instructor: Erik Davis,12,12,First day attendance required; cross-listed with RELI 311-01
ANTH 394-03 (30805),Body and Religion in the Middle Ages,Meeting: M      7:00 - 10:00 pmCARN 06B,Instructor: Jane Holmstrom,20,20,
ANTH 490-01 (30026),Senior Seminar,Meeting: M W F  9:40 - 10:40 amCARN 105,Instructor: Olga Gonzalez,12,12,First day attendance required
ART 130-01 (30027),Drawing I,Meeting: M W    1:10 - 4:20 pmART 302,Instructor: Megan Vossler,8,8,First day attendance required; registration limit has been adjusted to save 8 seats for Art majors and minors
ART 131-01 (30028),Ceramics I,Meeting:  T R   8:00 - 11:10 amART 113,Instructor: Summer Hills-Bonczyk,5,5,"First day attendance required; $100 materials fee charged; registration limit has been adjusted to save 5 seats for SRs, 3 seats for JRs. 3 seats for SOs, and 3 seats for FYs"
ART 161-01 (30029),Introduction to Art History II: From Renaissance to Modern,Meeting:  T R   9:40 - 11:10 amARTCOM 102,Instructor: Joanna Inglot,25,25,
ART 230-01 (30032),Color,Meeting: M W    8:30 - 11:40 amART 308,Instructor: Chris Willcox,10,10,First day attendance required
ART 233-01 (30033),Photography I,Meeting: M W F  9:40 - 11:40 amART 301,Instructor: Mara Duvra,8,8,"First day attendance required; $75 materials fee charged; registration limit has been adjusted to save 4 seats for SOs, 4 seats for FYs"
ART 234-01 (30034),Painting I,Meeting:  T R   1:20 - 4:30 pmART 308,Instructor: Chris Willcox,6,6,"First day attendance required; registration limit has been adjusted to save 4 seats for SOs, 4 seats for FYs"
ART 235-01 (30035),Sculpture I,Meeting: M W F  9:40 - 11:40 amART 118,Instructor:,3,3,"First day attendance required; $150 materials fee charged; registration limit has been adjusted to save 3 seats for SRs, 4 seats for JRs, 4 seats for SOs and 4 seats for FYs"
ART 236-01 (30036),Printmaking I,Meeting:  T R   1:20 - 4:30 pmART 214,Instructor: Ruthann Godollei,15,15,
ART 239-01 (30037),2-D Design,Meeting: M W F  1:10 - 3:10 pmART 301,Instructor: Mara Duvra,8,8,"First day attendance required; registration limit has been adjusted to save 4 seats for SOs, 4 seats for FYs"
ART 270-01 (30825),Making Sacred: Religious Images and Spaces in Asia,Meeting: M W F  3:30 - 4:30 pmARTCOM 202,Instructor: Kari Shepherdson-Scott,20,20,Cross-listed with ASIA 270-01
ART 273-01 (30030),Art of Japan,Meeting: M W F  1:10 - 2:10 pmARTCOM 102,Instructor: Kari Shepherdson-Scott,20,20,Cross-listed with ASIA 273-01
ART 281-01 (30039),Art and Architecture of Ancient Near East,Meeting: M W F  10:50 - 11:50 amARTCOM 102,Instructor: Serdar Yalcin,20,20,Cross-listed with CLAS 294-01
ART 284-01 (30040),Art and Architecture of Byzantium and Medieval Europe,Meeting: M W F  2:20 - 3:20 pmARTCOM 102,Instructor: Serdar Yalcin,20,20,Cross-listed with CLAS 294-02 and RELI 294-04
ART 294-01 (30041),Foundations of Ceramics Art: The Domestic Object,Meeting: M W    1:10 - 4:30 pmART 113,Instructor: Summer Hills-Bonczyk,6,6,"First day attendance required; registration limit has been adjusted to save 6 seats for SRs. 2 seats for JRs, 2 seats for SOs, and 2 seats for FYs"
ART 294-02 (30912),Art Against the State in Communist and Post-Communist World,Meeting: M W    1:20 - 2:50 pmARTCOM 202,Instructor: Joanna Inglot,15,15,Cross-listed with ART RUSS-03
ART 330-01 (30042),Figure Drawing,Meeting:  T R   1:20 - 4:30 pmART 206,Instructor: Megan Vossler,10,10,First day attendance required
ART 350-01 (30043),Embodiment and Subjectivity in Later Chinese Art,Meeting: M W F  9:40 - 10:40 amARTCOM 102,Instructor: Kari Shepherdson-Scott,20,20,Cross-listed with ASIA 350-01
ART 371-01 (30045),Painting II,Meeting:  T R   8:00 - 11:10 amART 308,Instructor: Chris Willcox,8,8,First day attendance required
ART 372-01 (30046),Sculpture II,Meeting: M W F  1:10 - 3:10 pmART 118,Instructor:,15,15,First day attendance required; $150 materials fee charged
ART 373-01 (30047),Printmaking II,Meeting: TBA,Instructor:,15,15,
ART 374-01 (30048),Ceramic Art II,Meeting:  T R   1:20 - 4:30 pmART 113,Instructor: Summer Hills-Bonczyk,10,10,Permission of instructor required; first day attendance required; $100 materials fee charged
ART 375-01 (30049),"Race, Ethnicity, Class, and Gender in American Art",Meeting:  T R   1:20 - 2:50 pmARTCOM 102,Instructor: Joanna Inglot,20,20,Cross-listed with AMST 394-02
ART 488-01 (30051),Senior Studio Seminar,Meeting: M W    7:00 - 9:00 pmART 105,Instructor: Ruthann Godollei,20,20,
ASIA 241-01 (30004),"Reclaiming Zen, Yoga and Church: Asian American Religions",Meeting:  T R   1:20 - 2:50 pmHUM 228,Instructor: Jake Nagasawa,15,15,Cross-listed with AMST 241-01 and RELI 241-01; registration limit has been adjusted to save 5 seats for FYs
ASIA 260-01 (30473),Narratives of Alienation: 20th Century Japanese Fiction and Film,Meeting:  T R   3:00 - 4:30 pmHUM 110,Instructor: Arthur Mitchell,20,20,Cross-listed with JAPA 260-01
ASIA 270-01 (30826),Making Sacred: Religious Images and Spaces in Asia,Meeting: M W F  3:30 - 4:30 pmARTCOM 202,Instructor: Kari Shepherdson-Scott,20,20,Cross-listed with ART 270-01
ASIA 273-01 (30031),Art of Japan,Meeting: M W F  1:10 - 2:10 pmARTCOM 102,Instructor: Kari Shepherdson-Scott,20,20,Cross-listed with ART 273-01
ASIA 275-01 (30784),The Rise of Modern China,Meeting:  T R   9:40 - 11:10 amMAIN 111,Instructor: James Coplin,20,20,Cross-listed with HIST 275-01
ASIA 283-01 (30790),"Bruce Lee, His Life and Legacy",Meeting: M      7:00 - 10:00 pmHUM 111,Instructor: Karin Aguilar-San Juan,20,20,Cross-listed with AMST 281-01 and MCST 281-01; registration limit has been adjusted to save 5 seats for FYs
ASIA 294-01 (30794),Literature and the Arts of Empire: Early Modern China and England,Meeting:  T R   1:20 - 2:50 pmHUM 112,Instructor: Penelope GengRivi Handler-Spitz,15,15,Cross-listed with CHIN 294-01 and ENGL 294-06; registration limit has been adjusted to save 5 seats for FYs
ASIA 294-02 (30917),The Art of Writing in China,Meeting:  T R   3:00 - 4:30 pmHUM 112,Instructor: Rivi Handler-Spitz,20,20,Cross-listed with CHIN 294-02
ASIA 294-03 (30940),Global History of Caste (1800-present),Meeting:  T R   3:00 - 4:30 pmMAIN 111,Instructor: Niharika Yadav,20,20,Cross-listed with HIST 294-05
ASIA 320-01 (30363),Asian Cities,Meeting: M W F  1:10 - 2:10 pmHUM 404,Instructor: I-Chun Catherine Chang,16,16,First day attendance required; cross-listed with GEOG 320-01
ASIA 350-01 (30044),Embodiment and Subjectivity in Later Chinese Art,Meeting: M W F  9:40 - 10:40 amARTCOM 102,Instructor: Kari Shepherdson-Scott,20,20,Cross-listed with ART 350-01
BIOL 106-01 (30288),"Lakes, Streams and Rivers",Meeting:  T R   1:20 - 2:50 pmOLRI 243,Instructor: Anika Bratt,12,12,First day attendance required; cross-listed with ENVI 106-01; registration limit has been adjusted to save 4 seats for FYs
BIOL 117-01 (30052),"Women, Health and Reproduction",Meeting: M W F  9:40 - 10:40 amTHEATR 206,Instructor: Elizabeth Jansen,30,30,First day attendance required; cross-listed with WGSS 117-01
BIOL 170-01 (30054),Ecology and the Environment,Meeting: M W F  9:40 - 10:40 amTHEATR 205,Instructor: Jerald Dosch,24,24,Permission of instructor required; first day attendance required; cross-listed with ENVI 170-01
BIOL 170-02 (30056),Ecology and the Environment,Meeting: M W F  10:50 - 11:50 amTHEATR 205,Instructor: Jerald Dosch,24,24,Permission of instructor required; first day attendance required; cross-listed with ENVI 170-02
BIOL 170-L1 (30058),Ecology and the Environment Lab,Meeting:    R   8:00 - 11:10 amOLRI 284,Instructor: Michael Anderson,22,22,Permission of instructor required; first day attendance required; cross-listed with ENVI 170-L1
BIOL 170-L2 (30296),Ecology and the Environment Lab,Meeting:    R   1:20 - 4:30 pmOLRI 284,Instructor: Michael Anderson,22,22,Permission of instructor required; first day attendance required; cross-listed with ENVI 170-L2
BIOL 170-L3 (30298),Ecology and the Environment Lab,Meeting:  T     8:00 - 11:10 amOLRI 284,Instructor: Jerald Dosch,22,22,Permission of instructor required; first day attendance required; cross-listed with ENVI 170-L3
BIOL 180-01 (30064),Biodiversity and Evolution,Meeting: M W F  9:40 - 10:40 amTHEATR 204,Instructor: Sarah Boyer,24,24,
BIOL 180-02 (30065),Biodiversity and Evolution,Meeting: M W F  10:50 - 11:50 amTHEATR 201,Instructor: Sarah Boyer,24,24,
BIOL 180-L1 (30066),Biodiversity and Evolution Lab,Meeting:  T     8:00 - 11:10 amOLRI 273,Instructor: Michael Anderson,24,24,
BIOL 180-L2 (30067),Biodiversity and Evolution Lab,Meeting:  T     1:20 - 4:30 pmOLRI 273,Instructor: Michael Anderson,24,24,
BIOL 190-01 (30068),Genetics,Meeting: M W F  12:00 - 1:00 pmTHEATR 202,Instructor: Elena Tonc,36,36,First day attendance required
BIOL 190-02 (30069),Genetics,Meeting: M W F  9:40 - 10:40 amTHEATR 200,Instructor: Mary Montgomery,36,36,First day attendance required
BIOL 190-L1 (30070),Genetics Lab,Meeting:  T     8:00 - 11:10 amOLRI 285,Instructor: Mary Montgomery,24,24,First day attendance required
BIOL 190-L2 (30071),Genetics Lab,Meeting:  T     1:20 - 4:30 pmOLRI 285,Instructor: Stephanie Kattar-Mell,24,24,First day attendance required
BIOL 190-L3 (30072),Genetics Lab,Meeting:    R   1:20 - 4:30 pmOLRI 285,Instructor: Stephanie Kattar-Mell,24,24,First day attendance required
BIOL 200-02 (30075),Cell Biology,Meeting: M W F  9:40 - 10:40 amTHEATR 002,Instructor: Michelle Tong,30,30,
BIOL 304-01 (30079),Neuroanatomy,Meeting: M W    8:00 - 9:30 amTHEATR 213,Instructor: Carli Poisson,12,12,"Permission of instructor required; first day attendance required; in order to enroll in this upper-level Biology class, you must complete the Biology Department's ""Request Permission to Enroll"" form, which can be found on the page titled Macalester Biology Courses - Permissions and Waitlists; ACTC students require permission of instructor."
BIOL 304-L1 (30080),Neuroanatomy Lab,Meeting:  T     1:20 - 4:30 pmOLRI 275,Instructor: Carli Poisson,12,12,"Permission of instructor required; first day attendance required; in order to enroll in this upper-level Biology class, you must complete the Biology Department's ""Request Permission to Enroll"" form, which can be found on the page titled Macalester Biology Courses - Permissions and Waitlists; ACTC students require permission of instructor."
BIOL 316-01 (30081),Cell/Molecular Neuroscience,Meeting: M W F  8:30 - 9:30 amTHEATR 101,Instructor: Michelle Tong,16,16,"Permission of instructor required; in order to enroll in this upper-level Biology class, you must complete the Biology Department's ""Request Permission to Enroll"" form, which can be found on the page titled Macalester Biology Courses - Permissions and Waitlists; ACTC students require permission of instructor."
BIOL 316-L1 (30082),Cell/Molecular Neurosci Lab,Meeting:  T     8:00 - 11:10 amOLRI 275,Instructor: Michelle Tong,16,16,"Permission of instructor required; in order to enroll in this upper-level Biology class, you must complete the Biology Department's ""Request Permission to Enroll"" form, which can be found on the page titled Macalester Biology Courses - Permissions and Waitlists; ACTC students require permission of instructor."
BIOL 322-01 (30083),Advanced Genetics,Meeting: M W F  12:00 - 1:00 pmOLRI 300,Instructor: Mary Montgomery,16,16,"Permission of instructor required; first day attendance required; in order to enroll in this upper-level Biology class, you must complete the Biology Department's ""Request Permission to Enroll"" form, which can be found on the page titled Macalester Biology Courses - Permissions and Waitlists; ACTC students require permission of instructor."
BIOL 351-01 (30135),Biochemistry I,Meeting: M W F  10:50 - 11:50 amOLRI 250,Instructor: Kathryn Splan,32,32,First day attendance required; cross-listed with CHEM 351-01
BIOL 351-L1 (30137),Biochemistry I Lab,Meeting:  T     8:00 - 11:10 amOLRI 289,Instructor: Kathryn Splan,16,16,First day attendance required; cross-listed with CHEM 351-L1
BIOL 351-L2 (30139),Biochemistry I Lab,Meeting:  T     1:20 - 4:30 pmOLRI 289,Instructor: Kathryn Splan,16,16,First day attendance required; cross-listed with CHEM 351-L2
BIOL 352-01 (30141),Biochemistry II,Meeting: M W F  2:20 - 3:20 pmTHEATR 002,Instructor: Kelsey Boyle,24,24,First day attendance required; cross-listed with CHEM 352-01
BIOL 352-L1 (30143),Biochemistry II Lab,Meeting:    R   8:00 - 11:10 amOLRI 289,Instructor: Kelsey Boyle,12,12,First day attendance required; cross-listed with CHEM 352-L1
BIOL 352-L2 (30145),Biochemistry II Lab,Meeting:    R   1:20 - 4:30 pmOLRI 289,Instructor: Kelsey Boyle,12,12,First day attendance required; cross-listed with CHEM 352-L2
BIOL 362-01 (30088),Arctic Ecology,Meeting: M W F  10:50 - 11:50 amOLRI 243,Instructor: Mary Heskel,16,16,"Permission of instructor required; first day attendance required; in order to enroll in this upper-level Biology class, you must complete the Biology Department's ""Request Permission to Enroll"" form, which can be found on the page titled Macalester Biology Courses - Permissions and Waitlists; ACTC students require permission of instructor; cross-listed with ENVI 362-01"
BIOL 365-01 (30090),Comparative Vertebrate Anatomy,Meeting: M W F  12:00 - 1:00 pmOLRI 100,Instructor: Kristina Curry Rogers,12,12,"Permission of instructor required; first day attendance required: ; in order to enroll in this upper-level Biology class, you must complete the Biology Department's ""Request Permission to Enroll"" form, which can be found on the page titled Macalester Biology Courses - Permissions and Waitlists; ACTC students not eligible to register until the beginning of the spring semester"
BIOL 365-L1 (30091),Comp Vertebrate Anatomy Lab,Meeting:    R   1:20 - 4:30 pmOLRI 275,Instructor: Kristina Curry Rogers,12,12,"Permission of instructor required; first day attendance required; in order to enroll in this upper-level Biology class, you must complete the Biology Department's ""Request Permission to Enroll"" form, which can be found on the page titled Macalester Biology Courses - Permissions and Waitlists; ACTC students require permission of instructor."
BIOL 385-01 (30092),Wildlife Monitoring Techniques,Meeting: M W F  10:50 - 11:50 amOLRI 284,Instructor: Stotra Chakrabarti,12,12,"Permission of instructor required; in order to enroll in this upper-level Biology class, you must complete the Biology Department's ""Request Permission to Enroll"" form, which can be found on the page titled Macalester Biology Courses - Permissions and Waitlists; ACTC students require permission of instructor; cross-listed with ENVI 385-01"
BIOL 385-L1 (30094),Wildlife Monitoring Tech Lab,Meeting:  T     1:20 - 4:30 pmOLRI 284,Instructor: Stotra Chakrabarti,12,12,"Permission of instructor required; in order to enroll in this upper-level Biology class, you must complete the Biology Department's ""Request Permission to Enroll"" form, which can be found on the page titled Macalester Biology Courses - Permissions and Waitlists; ACTC students require permission of instructor; cross-listed with ENVI 385-L1"
BIOL 394-03 (30925),Global Change Biology,Meeting:   W    7:00 - 10:00 pmOLRI 301,Instructor: Christine O'Connell,16,16,Permission of instructor required; first day attendance required
BIOL 400-01 (30098),Seminar in Neuropharmacology,Meeting: M W    8:00 - 9:30 amOLRI 300,Instructor: Marc Pisansky,12,12,"Permission of instructor required; in order to enroll in this upper-level Biology class, you must complete the Biology Department's ""Request Permission to Enroll"" form, which can be found on the page titled Macalester Biology Courses - Permissions and Waitlists; ACTC students require permission of instructor."
BIOL 473-01 (30099),Research in Immunology,Meeting: M W    8:00 - 9:30 amOLRI 270,Instructor: Elena Tonc,6,6,"Permission of instructor required; first day attendance required; in order to enroll in this upper-level Biology class, you must complete the Biology Department's ""Request Permission to Enroll"" form, which can be found on the page titled Macalester Biology Courses - Permissions and Waitlists; ACTC students require permission of instructor."
BIOL 473-L1 (30100),Research in Immunology Lab,Meeting:  T     8:00 - 11:10 amOLRI 277,Instructor: Elena Tonc,6,6,"Permission of instructor required; in order to enroll in this upper-level Biology class, you must complete the Biology Department's ""Request Permission to Enroll"" form, which can be found on the page titled Macalester Biology Courses - Permissions and Waitlists; ACTC students require permission of instructor."
BIOL 494-02 (30101),Research in Systems Neuroscience,Meeting: M W F  10:50 - 11:50 amTHEATR 206,Instructor: Marc Pisansky,6,6,"Permission of instructor required; in order to enroll in this upper-level Biology class, you must complete the Biology Department's ""Request Permission to Enroll"" form, which can be found on the page titled Macalester Biology Courses - Permissions and Waitlists; ACTC students require permission of instructor."
BIOL 494-04 (30103),Research in Plant Biology,Meeting: M W F  1:10 - 2:10 pmOLRI 281,Instructor: Mary Heskel,6,6,"Permission of instructor required; in order to enroll in this upper-level Biology class, you must complete the Biology Department's ""Request Permission to Enroll"" form, which can be found on the page titled Macalester Biology Courses - Permissions and Waitlists; ACTC students require permission of instructor; first day attendance required; cross-listed with ENVI 494-01"
BIOL 494-05 (30105),Psychoneuroimmunology,Meeting: M W F  1:10 - 2:10 pmHUM 314,Instructor: Phillip Rivera,12,12,"Permission of instructor required; in order to enroll in this upper-level Biology class, you must complete the Biology Department's ""Request Permission to Enroll"" form, which can be found on the page titled Macalester Biology Courses - Permissions and Waitlists; ACTC students require permission of instructor; first day attendance required"
BIOL 494-L1 (30107),Research in Plant Biology Lab,Meeting: M W F  2:20 - 3:20 pmOLRI 281,Instructor: Mary Heskel,6,6,"Permission of instructor required; in order to enroll in this upper-level Biology class, you must complete the Biology Department's ""Request Permission to Enroll"" form, which can be found on the page titled Macalester Biology Courses - Permissions and Waitlists; ACTC students require permission of instructor; first day attendance required; cross-listed with ENVI 494-L1"
BIOL 494-L2 (30102),Research in Systems Neuroscience Lab,Meeting:  T     8:00 - 11:10 amTHEATR 203,Instructor: Marc Pisansky,6,6,"Permission of instructor required; in order to enroll in this upper-level Biology class, you must complete the Biology Department's ""Request Permission to Enroll"" form, which can be found on the page titled Macalester Biology Courses - Permissions and Waitlists; ACTC students require permission of instructor."
CHEM 112-01 (30109),General Chemistry II: Energetics and Reactivity,Meeting: M W F  12:00 - 1:00 pmTHEATR 200,Instructor: Kelsey Boyle,16,16,First day attendance required; In-class time used primarily for practicing problem solving; students watch lecture videos outside of class; registration limit has been adjusted to save 16 seats for FYs
CHEM 112-02 (30110),General Chemistry II: Energetics and Reactivity,Meeting: M W F  8:30 - 9:30 amOLRI 350,Instructor: Susan Green,16,16,First day attendance required; In-class time used primarily for lecturing; practicing problem-solving is primarily outside of class; registration limit has been adjusted to save 16 seats for FYs
CHEM 112-03 (30111),General Chemistry II: Energetics and Reactivity,Meeting: M W F  9:40 - 10:40 amOLRI 350,Instructor: Paul Fischer,16,16,First day attendance required; In-class time used primarily for lecturing; practicing problem-solving is primarily outside of class; registration limit has been adjusted to save 15 seats for FYs
CHEM 112-04 (30112),General Chemistry II: Energetics and Reactivity,Meeting: M W F  10:50 - 11:50 amOLRI 350,Instructor: Paul Fischer,16,16,First day attendance required; In-class time used primarily for lecturing; practicing problem-solving is primarily outside of class; registration limit has been adjusted to save 15 seats for FYs
CHEM 112-L1 (30113),General Chemistry II Lab,Meeting:   W    1:10 - 4:20 pmOLRI 347,Instructor: Amy Rice,9,9,First day attendance required; $7 lab fee required; registration limit has been adjusted to save 9 seats for FYs
CHEM 112-L2 (30114),General Chemistry II Lab,Meeting:  T     8:00 - 11:10 amOLRI 341,Instructor: Marc RodwoginAmy Rice,18,18,"First day attendance required; $7 lab fee required; students registered for this section of lab will be assigned either to Amy Rice or Marc Rodwogin  as their instructor before the first lab meeting. Amy Rice's students will meet in OLRI 347 on the first day of lab, and Marc Rodwogin's students will meet in OLRI 343 on the first day of lab; registration limit has been adjusted to save 18 seats for FYs"
CHEM 112-L3 (30115),General Chemistry II Lab,Meeting:  T     1:20 - 4:30 pmOLRI 341,Instructor: Amy RiceMalia Borg,18,18,"First day attendance required; $7 lab fee required; students registered for this section of lab will be assigned either to Amy Rice or STAFF as their instructor before the first lab meeting. Amy Rice's students will meet in OLRI 347 on the first day of lab, and STAFF's students will meet in OLRI 343 on the first day of lab; registration limit has been adjusted to save 18 seats for FYs"
CHEM 112-L4 (30116),General Chemistry II Lab,Meeting:    R   8:00 - 11:10 amOLRI 347,Instructor: Amy Rice,9,9,First day attendance required; $7 fee required; registration limit has been adjusted to save 9 seats for FYs
CHEM 112-L5 (30117),General Chemistry II Lab,Meeting:    R   1:20 - 4:30 pmOLRI 347,Instructor: Amy Rice,9,9,First day attendance required; $7 fee required; registration limit has been adjusted to save 9 seats for FYs
CHEM 123-01 (30118),Food Chemistry,Meeting: M W F  10:50 - 11:50 amOLRI 370,Instructor: Susan Green,12,12,First day attendance required; registration limit has been adjusted to save 4 seats for FYs
CHEM 212-01 (30119),Organic Chemistry II,Meeting: M W    8:00 - 9:30 amTHEATR 202,Instructor: Dennis Cao,27,27,First day attendance required
CHEM 212-02 (30120),Organic Chemistry II,Meeting: M W F  9:40 - 10:40 amOLRI 301,Instructor: Ronald Brisbois,27,27,First day attendance required
CHEM 212-03 (30121),Organic Chemistry II,Meeting: M W F  10:50 - 11:50 amOLRI 301,Instructor: Ronald Brisbois,26,26,First day attendance required
CHEM 212-L1 (30122),Organic Chemistry II Lab,Meeting:  T     8:00 - 11:10 amOLRI 383,Instructor: Dennis Cao,16,16,
CHEM 212-L2 (30123),Organic Chemistry II Lab,Meeting:  T     1:20 - 4:30 pmOLRI 383,Instructor: Dennis Cao,16,16,
CHEM 212-L3 (30124),Organic Chemistry II Lab,Meeting:   W    1:20 - 4:30 pmOLRI 383,Instructor: Malia Borg,16,16,
CHEM 212-L4 (30125),Organic Chemistry II Lab,Meeting:    R   8:00 - 11:10 amOLRI 383,Instructor: Malia Borg,16,16,
CHEM 212-L5 (30126),Organic Chemistry II Lab,Meeting:    R   1:20 - 4:30 pmOLRI 383,Instructor: Malia Borg,16,16,
